freq,amplitude,lift,drag,roll,power
3,20.0,0.08506762225088794,-0.017552241630117694,-0.013903386957376068,0.19433790222821562
3,25.0,0.08558586382505194,-0.028760597973064343,-0.014286320335204567,0.3127316496191718
3,30.0,0.0862767035526862,-0.04284378117448836,-0.014773829314967504,0.4657539798841911
3,35.0,0.08715546697197855,-0.06000097186245094,-0.015373212536367075,0.6578659829511283
3,40.0,0.0882324640345248,-0.0804525409459225,-0.016091518063294705,0.8940552006311219
3,45.0,0.08951265971559273,-0.10443816333622756,-0.016935646788972733,1.179794568469655
3,50.0,0.0909957724536033,-0.13221614104790855,-0.017912666459384153,1.5210172221024763
3,55.0,0.09267697980781385,-0.1640647511982067,-0.01903047460438484,1.9241149870437555
4,20.0,0.08721145847406447,-0.030705240923442408,-0.014399266527289692,0.35201379043648895
4,25.0,0.08931888565912914,-0.049924892551687965,-0.01513990688339622,0.5752598374747031
4,30.0,0.09206646161049749,-0.07433200145721465,-0.0160955187054343,0.8708511458231539
4,35.0,0.09548743318965056,-0.10438977031399839,-0.017281168464137193,1.2507446466309866
4,40.0,0.09959824489127071,-0.1405952840964267,-0.01870994498264943,1.728178322517185
4,45.0,0.1043983267268868,-0.1834695227353339,-0.020393328039393487,2.317524252246707
4,50.0,0.10987111263528106,-0.2335523669533302,-0.022341942888124657,3.0341935373487123
4,55.0,0.11598642910344119,-0.29140297948107974,-0.02456687709729768,3.894593069399827
5,20.0,0.08952544261453,-0.04631659134143181,-0.014959025043519768,0.5654475098803924
5,25.0,0.09367663270187254,-0.0752743656009435,-0.016163473451343835,0.9377836338704458
5,30.0,0.09915274005764964,-0.11242241616534919,-0.017740784607175417,1.4412644883285421
5,35.0,0.10601702256634643,-0.1586232527464156,-0.019716549178452527,2.1010166844758453
5,40.0,0.11429468980719715,-0.21477426304343722,-0.02211114301834534,2.944661687140838
5,45.0,0.12397395870148867,-0.2817868409897551,-0.024940790004776666,4.001980531745627
5,50.0,0.1350088732430719,-0.3605772303076693,-0.028218985511269567,5.304709618569517
5,55.0,0.14732469545298343,-0.4520664133122075,-0.03195880100949727,6.886419388078901
6,20.0,0.09374683903091288,-0.06374359854280091,-0.015912623518742914,0.8407067556665172
6,25.0,0.10103485544684188,-0.1038175425432723,-0.01781247304242984,1.4126997098563727
6,30.0,0.11067767239908566,-0.15571573820995271,-0.02031651989765755,2.1997101675980075
6,35.0,0.12279545706698729,-0.2208308816901559,-0.02346615187042369,3.246926803468883
6,40.0,0.13743653954541526,-0.3005765866415559,-0.027292238042757627,4.603782308072602
6,45.0,0.15458159189493884,-0.3963562503994967,-0.031817359634921376,6.323372414481696
6,50.0,0.174149673172277,-0.5095508728388003,-0.03705833135811101,8.462077823482247
6,55.0,0.1960112510912472,-0.6415194332530858,-0.04303031137220462,11.079399511462542
7,20.0,0.09587707442801575,-0.08281395967144263,-0.01648742565022739,1.189604496736873
7,25.0,0.10609513573491856,-0.13531260919447996,-0.019048588532311502,2.0221430359151324
7,30.0,0.11986672809149693,-0.20389914509699558,-0.0224748398577789,3.183852002897741
7,35.0,0.1373701110837277,-0.29062932598268143,-0.026821719905091128,4.748245921512681
7,40.0,0.1586685779517566,-0.39755524360643424,-0.03212759072130599,6.795519416217535
7,45.0,0.18371863325330423,-0.5266859951072849,-0.03841749221512936,9.41166238303361
7,50.0,0.2123837471610258,-0.6799711957859825,-0.04570759539170511,12.68786190979435
7,55.0,0.2444470494878343,-0.8593007066323122,-0.05401003778230926,16.72025234705784
8,20.0,0.10391490592281682,-0.10233232651008145,-0.018224200930779574,1.6110907809539663
8,25.0,0.1197613118523901,-0.16781529082802465,-0.021999322694194686,2.7638107463924495
8,30.0,0.14106852411522278,-0.2540799254794926,-0.027048680047216018,4.389472113678558
8,35.0,0.16814171254757262,-0.36397842018590665,-0.03345413893779483,6.597978179639243
8,40.0,0.20111117904791004,-0.5003355142826431,-0.041270772344026485,9.509098583386237
8,45.0,0.23995014271532858,-0.6658971414849814,-0.050533642544282865,13.251250434223003
8,50.0,0.2844900116567718,-0.8633060015348114,-0.0612632885733111,17.960681157677925
8,55.0,0.33444735979736573,-1.0950941730724026,-0.07347315610541749,23.781041585001425
9,20.0,0.10389081196086425,-0.12306439084958566,-0.018408399939253875,2.131461896523924
9,25.0,0.12294804708597243,-0.20255822830777304,-0.022896606827697112,3.6849394881651083
9,30.0,0.14911011079772113,-0.30808705390999774,-0.02899038702168759,5.894116176012926
9,35.0,0.1827535293412031,-0.4434647420273607,-0.03678024923147678,8.915806711658298
9,40.0,0.22402410053434646,-0.6124642547594413,-0.046321878776416935,12.92100851802155
9,45.0,0.2728554820828272,-0.8187487626342567,-0.057644491085881704,18.09326308777733
9,50.0,0.32899552448554076,-1.0658315253301391,-0.0707585488236515,24.627500882961893
9,55.0,0.3920243416891163,-1.3570465516128318,-0.08566265602366442,32.72924946536408
10,20.0,0.11082504374304535,-0.14303515132423286,-0.019956896918586233,2.7372712070791123
10,25.0,0.13639548839451524,-0.23632896784277405,-0.02583169798445069,4.75803570058102
10,30.0,0.17164731600893735,-0.3611918241190743,-0.033839143694890106,7.647753410272671
10,35.0,0.21714998372128244,-0.5226050944996496,-0.04410495662467758,11.617872398892578
10,40.0,0.27315792197689,-0.7255047405945237,-0.056708503212642286,16.899147262322114
10,45.0,0.33963190455021364,-0.9746788600533004,-0.07169241882972198,23.739520894005498
10,50.0,0.4162534570954606,-1.2746916503111643,-0.08906896403331828,32.402407339641925
10,55.0,0.5024551339574949,-1.6298355950315728,-0.10882880364004208,43.16559815136416
