freq,amplitude,lift,drag,roll,power
3,20.0,0.7509334145924763,0.0580506255820147,-0.12289238242097794,0.2737820778440768
3,25.0,0.746836765385021,0.04630949172145133,-0.12465160686328962,0.43440917000025225
3,30.0,0.7417996098371725,0.03176848400876264,-0.12669683046672356,0.6363639586121645
3,35.0,0.7359168723309781,0.01428812448262711,-0.12898749122228,0.8828365628620456
3,40.0,0.7293440364891199,-0.006292632388699554,-0.13148434369058942,1.177521669702618
3,45.0,0.7222977047508645,-0.03015486383979886,-0.13414936089448481,1.5246009740445259
3,50.0,0.7150544139932294,-0.057499520939234085,-0.1369453085589453,1.9287425520616215
3,55.0,0.7079499063171427,-0.08854922002664124,-0.13983543508384935,2.3951218092240603
3,60.0,0.7013796838644649,-0.12355259320292948,-0.14278356486246246,2.929472559341713
3,65.0,0.6958015129459176,-0.16279313566016854,-0.14575481882790176,3.5381912513782545
3,70.0,0.6917423114189859,-0.20660578335730198,-0.14871782539730785,4.228530137473733
3,75.0,0.6898128051573721,-0.25541001609016417,-0.15165045467356805,5.008989708077943
3,80.0,0.6907413657862416,-0.30978139367215357,-0.1545573027958762,5.890169657128777
3,85.0,0.6954573038211938,-0.3706392414675223,-0.1575398734400801,6.88705574584628
4,20.0,0.7742453254829078,0.04716803293275626,-0.1278598725077481,0.48275940842759946
4,25.0,0.7824224430638369,0.02869809127451939,-0.13227345219977282,0.7752085407657785
4,30.0,0.7914616040490632,0.0054481178451256974,-0.13740952867044415,1.1505991162829345
4,35.0,0.8011336107466722,-0.022982348238501725,-0.14317583435464046,1.6186908994927867
4,40.0,0.8113056391297638,-0.05703233266576602,-0.14948544500944477,2.1904775063731536
4,45.0,0.821941842856594,-0.09717302244631856,-0.15625484141109627,2.878081955182258
4,50.0,0.8331049758043754,-0.14390442986927024,-0.1634024462115721,3.69470238113465
4,55.0,0.8449613066623466,-0.1977549208870653,-0.17084807667437507,4.654608370965524
4,60.0,0.857788964711724,-0.25928540163032576,-0.17851321869000103,5.7732118147574285
4,65.0,0.8719903897147837,-0.32910205292266465,-0.18632261117008023,7.0672501020747145
4,70.0,0.8881104964178869,-0.4078818503086818,-0.194210205329376,8.555171557769432
4,75.0,0.9068516380167917,-0.4964218217685812,-0.20213045023079781,10.25789037091393
4,80.0,0.9291031136607167,-0.5957502571122837,-0.2100851895114316,12.200536065091224
4,85.0,0.9560486064231274,-0.7073866851598388,-0.218252899966832,14.416833421370425
5,20.0,0.8030043309364634,0.03440032222692151,-0.13400294990288997,0.7551361423539547
5,25.0,0.8259895171498506,0.0077869215570902555,-0.14163968753820677,1.2275837286569151
5,30.0,0.8519856807896404,-0.026202723593470444,-0.15052989124387534,1.8462305760424322
5,35.0,0.8804321720348139,-0.06835908051222599,-0.16053153031435682,2.632893047807036
5,40.0,0.9109026708119548,-0.1195277247798662,-0.1715110767798581,3.6117947707161675
5,45.0,0.9431034522212492,-0.18059360684392128,-0.18333917674971534,4.809299094737516
5,50.0,0.9768813223426795,-0.25246885642154043,-0.19588861227023213,6.253734505929392
5,55.0,1.0122342244018396,-0.3360878896884763,-0.20903311990975623,7.975340092520568
5,60.0,1.049329832429019,-0.432409751956759,-0.22264828748499327,10.006342302589976
5,65.0,1.0885228637808912,-0.5424339701813318,-0.2366137301116204,12.381244443788935
5,70.0,1.1303807919335411,-0.667236276220662,-0.2508195201070684,15.137563297331848
5,75.0,1.1757240040313295,-0.8080349956274236,-0.265185185323007,18.317217636272517
5,80.0,1.2256778897785068,-0.9663232724891959,-0.2797148104423513,21.969471499875834
5,85.0,1.2817308850776987,-1.1441241526641868,-0.29473127015465816,26.158165937551914
6,20.0,0.8388981901790976,0.0202303435418714,-0.14165102416091496,1.0988892775942714
6,25.0,0.8796572401413036,-0.015656173404594867,-0.15317441307869994,1.8067045500760146
6,30.0,0.9260599763545103,-0.062064259802026935,-0.16660848265037953,2.7501529768579083
6,35.0,0.9772431914328464,-0.12030234353114151,-0.18177041798625376,3.9700100214721803
6,40.0,1.0325095038622447,-0.1917436896766461,-0.19848696916525138,5.5111410719809015
6,45.0,1.0913243420703895,-0.2777935299804712,-0.21658791544233874,7.421965290754011
6,50.0,1.1533240840877224,-0.3798669558341233,-0.23590090545120534,9.754140491262751
6,55.0,1.2183410413228977,-0.4993796254597021,-0.25624833429536115,12.562435589460952
6,60.0,1.2864503070045803,-0.6377515934677098,-0.277450200986827,15.90488376431187
6,65.0,1.3580118186922856,-0.7964242340299502,-0.2993323399726107,19.84319189758462
6,70.0,1.4337059194338504,-0.9768979623797559,-0.321740326120761,24.44366956492377
6,75.0,1.5145593967633166,-1.180808158586318,-0.34457173750746,29.779538802392597
6,80.0,1.601954181821834,-1.4100404705634282,-0.36786633889832515,35.935723539099506
6,85.0,1.6975463080733428,-1.666870991796877,-0.39215655766905055,43.020617795331965
7,20.0,0.876517740019231,0.004920443144526642,-0.14976730227204,1.5143855878611927
7,25.0,0.9365421317471582,-0.04132011037482551,-0.1655455303206045,2.5191646566077366
7,30.0,1.005269380522146,-0.1018075837949306,-0.18399854653571243,3.879909673067092
7,35.0,1.0815438499509897,-0.17850906239556216,-0.2049065876367578,5.664738257360381
7,40.0,1.1644063659874582,-0.27345630470433296,-0.22805800799232015,7.948212213908122
7,45.0,1.2531190028772083,-0.3886888222342853,-0.2532463863481748,10.810379061102314
7,50.0,1.347176080856667,-0.5262170668746857,-0.2802688685045689,14.33607881589695
7,55.0,1.4462855262533423,-0.688010873318533,-0.30891806984633086,18.6147766927793
7,60.0,1.5503514033628303,-0.8760097349681409,-0.3389694366865895,23.740756557388302
7,65.0,1.6595209758152776,-1.0921453651608317,-0.37018122310686125,29.81409720361137
7,70.0,1.7742714121163294,-1.338379512641989,-0.40230545383257743,36.94248357971726
7,75.0,1.8955533931790276,-1.6167558545144411,-0.43512894338958136,45.2448160000879
7,80.0,2.0249563863570432,-1.9294568402000667,-0.46862624593758756,54.85840415906119
7,85.0,2.164569146122621,-2.2786287353299293,-0.5035397851054313,65.95622237513587
8,20.0,0.9176187649243179,-0.011142395747821679,-0.15869601263536956,2.0113618502146897
8,25.0,0.9988554482780385,-0.06853820529830577,-0.17919481108686228,3.3818180317637
8,30.0,1.092364633542355,-0.14440552005607316,-0.2032582373783008,5.263173341958041
8,35.0,1.1967530712266614,-0.24150392370979137,-0.23064264165835696,7.760289425704116
8,40.0,1.3108639750745135,-0.36263460587415264,-0.2611172244814328,10.987400481994811
8,45.0,1.4337484573618533,-0.5105712764947608,-0.2944460592565408,15.066808127370715
8,50.0,1.5646910819819477,-0.6880280660451795,-0.33037905932480344,20.128150204085046
8,55.0,1.7032514896799633,-0.8976290372320164,-0.3686644616584081,26.30758499684307
8,60.0,1.8491604019138281,-1.1418917327758709,-0.4090411837453908,33.74801399832266
8,65.0,2.0021715303807794,-1.423256643415241,-0.4511804905583261,42.6012424929506
8,70.0,2.1622331890692195,-1.744150071355136,-0.4946340589702191,53.032105893280445
8,75.0,2.33018036268691,-2.107015407858001,-0.5388996203661601,65.22425913102295
8,80.0,2.508572947960171,-2.5142130049583784,-0.583747657306297,79.38915925284005
8,85.0,2.701364296633278,-2.9672484185571903,-0.63022293317722,95.7874884819664
9,20.0,0.9586616530400023,-0.027835757657367073,-0.16775292359155994,2.5941940760715334
9,25.0,1.0619039817589218,-0.09715594578420415,-0.19320242432329254,4.405318526573286
9,30.0,1.1813406857882953,-0.1896872905511081,-0.2231952360542442,6.920636395135996
9,35.0,1.3153146336944865,-0.30912981656786,-0.25745731103437586,10.292528875964774
9,40.0,1.462419087322764,-0.45921641276042563,-0.29571087926569906,14.68697616368918
9,45.0,1.6215551948326676,-0.643617870076296,-0.33766872928880604,20.281528034865534
9,50.0,1.7919709281947034,-0.8658765412526063,-0.38303595990235245,27.2636604811498
9,55.0,1.973240842870988,-1.129377113851305,-0.4315019348233961,35.8303207142311
9,60.0,2.1652350134458413,-1.4373425995347286,-0.4827258314414534,46.18837334834649
9,65.0,2.3681076652426825,-1.7928481628618234,-0.5363289461476122,58.55604626249121
9,70.0,2.582402302800863,-2.1988302315215216,-0.5919005657026483,73.16688143698441
9,75.0,2.809360164922194,-2.658037211303789,-0.6490801348130321,90.27669104390618
9,80.0,3.0511525134018984,-3.172735286058731,-0.7078759228918352,110.17779788869436
9,85.0,3.3101228622183263,-3.743160890148476,-0.7697966774187636,133.23628520553058
10,20.0,1.004000668973875,-0.04449487625133015,-0.1777879122011438,3.2743918269263204
10,25.0,1.1314183291178082,-0.1259912598324566,-0.20870415964357236,5.606556026672621
10,30.0,1.2795737325363439,-0.2357883242834534,-0.24528942082414448,8.875986517793491
10,35.0,1.4467032373943947,-0.3786631562150608,-0.28727425959829955,13.292895471358543
