step,airplane,wing,panel_id,vertex_name,x,y,z
0,Example Airplane,Main Wing,13,Flpp_GP1_CgP1,0.7344579112075793,4.25,0.6327957014724501
0,Example Airplane,Main Wing,13,Frpp_GP1_CgP1,0.8231089773214326,5.0,0.7546464255300072
0,Example Airplane,Main Wing,13,Brpp_GP1_CgP1,1.0834754428701263,5.0,0.7476083571844967
0,Example Airplane,Main Wing,13,Blpp_GP1_CgP1,1.000055594411634,4.25,0.6286730075147814
0,Example Airplane,Main Wing,14,Flpp_GP1_CgP1,0.8231089773214326,5.0,0.7546464255300072
0,Example Airplane,Main Wing,14,Frpp_GP1_CgP1,0.9117600434352862,5.75,0.8764971495875642
0,Example Airplane,Main Wing,14,Brpp_GP1_CgP1,1.1668952913286188,5.75,0.8665437068542119
0,Example Airplane,Main Wing,14,Blpp_GP1_CgP1,1.0834754428701263,5.0,0.7476083571844967
0,Example Airplane,Main Wing,15,Flpp_GP1_CgP1,0.9117600434352862,5.75,0.8764971495875642
0,Example Airplane,Main Wing,15,Frpp_GP1_CgP1,1.0004111095491395,6.5,0.9983478736451212
0,Example Airplane,Main Wing,15,Brpp_GP1_CgP1,1.2503151397871113,6.5,0.9854790565239271
0,Example Airplane,Main Wing,15,Blpp_GP1_CgP1,1.1668952913286188,5.75,0.8665437068542119
0,Example Airplane,Main Wing,16,Flpp_GP1_CgP1,0.582956352119172,0.5,0.03399625916620533
0,Example Airplane,Main Wing,16,Frpp_GP1_CgP1,0.6663762005776643,1.25,0.15293160883592055
0,Example Airplane,Main Wing,16,Brpp_GP1_CgP1,0.9529945867151748,1.25,0.150301016268313
0,Example Airplane,Main Wing,16,Blpp_GP1_CgP1,0.8749062504686373,0.5,0.034093708303820226
0,Example Airplane,Main Wing,17,Flpp_GP1_CgP1,0.6663762005776643,1.25,0.15293160883592055
0,Example Airplane,Main Wing,17,Frpp_GP1_CgP1,0.7497960490361568,2.0,0.2718669585056358
0,Example Airplane,Main Wing,17,Brpp_GP1_CgP1,1.0310829229617124,2.0,0.2665083242328058
0,Example Airplane,Main Wing,17,Blpp_GP1_CgP1,0.9529945867151748,1.25,0.150301016268313
0,Example Airplane,Main Wing,18,Flpp_GP1_CgP1,0.7497960490361568,2.0,0.2718669585056358
0,Example Airplane,Main Wing,18,Frpp_GP1_CgP1,0.8332158974946492,2.75,0.390802308175351
0,Example Airplane,Main Wing,18,Brpp_GP1_CgP1,1.1091712592082499,2.75,0.3827156321972986
0,Example Airplane,Main Wing,18,Blpp_GP1_CgP1,1.0310829229617124,2.0,0.2665083242328058
0,Example Airplane,Main Wing,19,Flpp_GP1_CgP1,0.8332158974946492,2.75,0.390802308175351
0,Example Airplane,Main Wing,19,Frpp_GP1_CgP1,0.9166357459531416,3.5,0.5097376578450662
0,Example Airplane,Main Wing,19,Brpp_GP1_CgP1,1.1872595954547873,3.5,0.49892294016179134
0,Example Airplane,Main Wing,19,Blpp_GP1_CgP1,1.1091712592082499,2.75,0.3827156321972986
0,Example Airplane,Main Wing,20,Flpp_GP1_CgP1,0.9166357459531416,3.5,0.5097376578450662
0,Example Airplane,Main Wing,20,Frpp_GP1_CgP1,1.000055594411634,4.25,0.6286730075147814
0,Example Airplane,Main Wing,20,Brpp_GP1_CgP1,1.2653479317013248,4.25,0.615130248126284
0,Example Airplane,Main Wing,20,Blpp_GP1_CgP1,1.1872595954547873,3.5,0.49892294016179134
0,Example Airplane,Main Wing,21,Flpp_GP1_CgP1,1.000055594411634,4.25,0.6286730075147814
0,Example Airplane,Main Wing,21,Frpp_GP1_CgP1,1.0834754428701263,5.0,0.7476083571844967
0,Example Airplane,Main Wing,21,Brpp_GP1_CgP1,1.3434362679478622,5.0,0.7313375560907769
0,Example Airplane,Main Wing,21,Blpp_GP1_CgP1,1.2653479317013248,4.25,0.615130248126284
0,Example Airplane,Main Wing,22,Flpp_GP1_CgP1,1.0834754428701263,5.0,0.7476083571844967
0,Example Airplane,Main Wing,22,Frpp_GP1_CgP1,1.1668952913286188,5.75,0.8665437068542119
0,Example Airplane,Main Wing,22,Brpp_GP1_CgP1,1.4215246041943999,5.75,0.8475448640552696
0,Example Airplane,Main Wing,22,Blpp_GP1_CgP1,1.3434362679478622,5.0,0.7313375560907769
0,Example Airplane,Main Wing,23,Flpp_GP1_CgP1,1.1668952913286188,5.75,0.8665437068542119
0,Example Airplane,Main Wing,23,Frpp_GP1_CgP1,1.2503151397871113,6.5,0.9854790565239271
0,Example Airplane,Main Wing,23,Brpp_GP1_CgP1,1.4996129404409373,6.5,0.9637521720197624
0,Example Airplane,Main Wing,23,Blpp_GP1_CgP1,1.4215246041943999,5.75,0.8475448640552696
0,Example Airplane,Main Wing,24,Flpp_GP1_CgP1,0.8749062504686373,0.5,0.034093708303820226
0,Example Airplane,Main Wing,24,Frpp_GP1_CgP1,0.9529945867151748,1.25,0.150301016268313
0,Example Airplane,Main Wing,24,Brpp_GP1_CgP1,1.2395051948885434,1.25,0.14186112201690845
0,Example Airplane,Main Wing,24,Blpp_GP1_CgP1,1.1668026557558626,0.5,0.02827326682651222
0,Example Airplane,Main Wing,25,Flpp_GP1_CgP1,0.9529945867151748,1.25,0.150301016268313
0,Example Airplane,Main Wing,25,Frpp_GP1_CgP1,1.0310829229617124,2.0,0.2665083242328058
0,Example Airplane,Main Wing,25,Brpp_GP1_CgP1,1.312207734021224,2.0,0.2554489772073047
0,Example Airplane,Main Wing,25,Blpp_GP1_CgP1,1.2395051948885434,1.25,0.14186112201690845
0,Example Airplane,Main Wing,26,Flpp_GP1_CgP1,1.0310829229617124,2.0,0.2665083242328058
0,Example Airplane,Main Wing,26,Frpp_GP1_CgP1,1.1091712592082499,2.75,0.3827156321972986
0,Example Airplane,Main Wing,26,Brpp_GP1_CgP1,1.3849102731539045,2.75,0.3690368323977009
0,Example Airplane,Main Wing,26,Blpp_GP1_CgP1,1.312207734021224,2.0,0.2554489772073047
0,Example Airplane,Main Wing,27,Flpp_GP1_CgP1,1.1091712592082499,2.75,0.3827156321972986
0,Example Airplane,Main Wing,27,Frpp_GP1_CgP1,1.1872595954547873,3.5,0.49892294016179134
0,Example Airplane,Main Wing,27,Brpp_GP1_CgP1,1.4576128122865852,3.5,0.4826246875880971
0,Example Airplane,Main Wing,27,Blpp_GP1_CgP1,1.3849102731539045,2.75,0.3690368323977009
0,Example Airplane,Main Wing,28,Flpp_GP1_CgP1,1.1872595954547873,3.5,0.49892294016179134
0,Example Airplane,Main Wing,28,Frpp_GP1_CgP1,1.2653479317013248,4.25,0.615130248126284
0,Example Airplane,Main Wing,28,Brpp_GP1_CgP1,1.530315351419266,4.25,0.5962125427784933
0,Example Airplane,Main Wing,28,Blpp_GP1_CgP1,1.4576128122865852,3.5,0.4826246875880971
0,Example Airplane,Main Wing,29,Flpp_GP1_CgP1,1.2653479317013248,4.25,0.615130248126284
0,Example Airplane,Main Wing,29,Frpp_GP1_CgP1,1.3434362679478622,5.0,0.7313375560907769
0,Example Airplane,Main Wing,29,Brpp_GP1_CgP1,1.6030178905519465,5.0,0.7098003979688896
0,Example Airplane,Main Wing,29,Blpp_GP1_CgP1,1.530315351419266,4.25,0.5962125427784933
0,Example Airplane,Main Wing,30,Flpp_GP1_CgP1,1.3434362679478622,5.0,0.7313375560907769
0,Example Airplane,Main Wing,30,Frpp_GP1_CgP1,1.4215246041943999,5.75,0.8475448640552696
0,Example Airplane,Main Wing,30,Brpp_GP1_CgP1,1.675720429684627,5.75,0.8233882531592858
0,Example Airplane,Main Wing,30,Blpp_GP1_CgP1,1.6030178905519465,5.0,0.7098003979688896
0,Example Airplane,Main Wing,31,Flpp_GP1_CgP1,1.4215246041943999,5.75,0.8475448640552696
0,Example Airplane,Main Wing,31,Frpp_GP1_CgP1,1.4996129404409373,6.5,0.9637521720197624
0,Example Airplane,Main Wing,31,Brpp_GP1_CgP1,1.7484229688173079,6.5,0.936976108349682
0,Example Airplane,Main Wing,31,Blpp_GP1_CgP1,1.675720429684627,5.75,0.8233882531592858
0,Example Airplane,Main Wing,32,Flpp_GP1_CgP1,1.1668026557558626,0.5,0.02827326682651222
0,Example Airplane,Main Wing,32,Frpp_GP1_CgP1,1.2395051948885434,1.25,0.14186112201690845
0,Example Airplane,Main Wing,32,Brpp_GP1_CgP1,1.5258056550299248,1.25,0.1280223405549161
0,Example Airplane,Main Wing,32,Blpp_GP1_CgP1,1.4585373267164148,0.5,0.01695195525695175
0,Example Airplane,Main Wing,33,Flpp_GP1_CgP1,1.2395051948885434,1.25,0.14186112201690845
0,Example Airplane,Main Wing,33,Frpp_GP1_CgP1,1.312207734021224,2.0,0.2554489772073047
0,Example Airplane,Main Wing,33,Brpp_GP1_CgP1,1.593073983343435,2.0,0.23909272585288047
0,Example Airplane,Main Wing,33,Blpp_GP1_CgP1,1.5258056550299248,1.25,0.1280223405549161
0,Example Airplane,Main Wing,34,Flpp_GP1_CgP1,1.312207734021224,2.0,0.2554489772073047
0,Example Airplane,Main Wing,34,Frpp_GP1_CgP1,1.3849102731539045,2.75,0.3690368323977009
0,Example Airplane,Main Wing,34,Brpp_GP1_CgP1,1.6603423116569451,2.75,0.3501631111508448
0,Example Airplane,Main Wing,34,Blpp_GP1_CgP1,1.593073983343435,2.0,0.23909272585288047
0,Example Airplane,Main Wing,35,Flpp_GP1_CgP1,1.3849102731539045,2.75,0.3690368323977009
0,Example Airplane,Main Wing,35,Frpp_GP1_CgP1,1.4576128122865852,3.5,0.4826246875880971
0,Example Airplane,Main Wing,35,Brpp_GP1_CgP1,1.7276106399704552,3.5,0.4612334964488092
0,Example Airplane,Main Wing,35,Blpp_GP1_CgP1,1.6603423116569451,2.75,0.3501631111508448
0,Example Airplane,Main Wing,36,Flpp_GP1_CgP1,1.4576128122865852,3.5,0.4826246875880971
0,Example Airplane,Main Wing,36,Frpp_GP1_CgP1,1.530315351419266,4.25,0.5962125427784933
0,Example Airplane,Main Wing,36,Brpp_GP1_CgP1,1.7948789682839654,4.25,0.5723038817467735
0,Example Airplane,Main Wing,36,Blpp_GP1_CgP1,1.7276106399704552,3.5,0.4612334964488092
0,Example Airplane,Main Wing,37,Flpp_GP1_CgP1,1.530315351419266,4.25,0.5962125427784933
0,Example Airplane,Main Wing,37,Frpp_GP1_CgP1,1.6030178905519465,5.0,0.7098003979688896
0,Example Airplane,Main Wing,37,Brpp_GP1_CgP1,1.8621472965974755,5.0,0.6833742670447378
0,Example Airplane,Main Wing,37,Blpp_GP1_CgP1,1.7948789682839654,4.25,0.5723038817467735
0,Example Airplane,Main Wing,38,Flpp_GP1_CgP1,1.6030178905519465,5.0,0.7098003979688896
0,Example Airplane,Main Wing,38,Frpp_GP1_CgP1,1.675720429684627,5.75,0.8233882531592858
0,Example Airplane,Main Wing,38,Brpp_GP1_CgP1,1.9294156249109857,5.75,0.7944446523427022
0,Example Airplane,Main Wing,38,Blpp_GP1_CgP1,1.8621472965974755,5.0,0.6833742670447378
0,Example Airplane,Main Wing,39,Flpp_GP1_CgP1,1.675720429684627,5.75,0.8233882531592858
0,Example Airplane,Main Wing,39,Frpp_GP1_CgP1,1.7484229688173079,6.5,0.936976108349682
0,Example Airplane,Main Wing,39,Brpp_GP1_CgP1,1.9966839532244958,6.5,0.9055150376406665
0,Example Airplane,Main Wing,39,Blpp_GP1_CgP1,1.9294156249109857,5.75,0.7944446523427022
0,Example Airplane,Main Wing,40,Flpp_GP1_CgP1,1.4585373267164148,0.5,0.01695195525695175
0,Example Airplane,Main Wing,40,Frpp_GP1_CgP1,1.5258056550299248,1.25,0.1280223405549161
0,Example Airplane,Main Wing,40,Brpp_GP1_CgP1,1.8117866984986197,1.25,0.10867854734108214
0,Example Airplane,Main Wing,40,Blpp_GP1_CgP1,1.7500000000000004,0.5,2.062583411211087e-05
0,Example Airplane,Main Wing,41,Flpp_GP1_CgP1,1.5258056550299248,1.25,0.1280223405549161
